months_as_customer,age,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,total_claims,days_as_customer,high_risk
328,48,10/17/14,OH,250/500,1000,1406.91,0,MALE,MD,craft-repair,sleeping,husband,1/25/15,Single Vehicle Collision,Side Collision,2,Police,SC,Columbus,9935 4th Drive,5,1,YES,1,2,YES,71610,6510,13020,52080,Saab,92x,2004,Y,71610,100,1
228,42,6/27/06,IN,250/500,2000,1197.22,5000000,MALE,MD,machine-op-inspct,reading,other-relative,1/21/15,Vehicle Theft,?,1,Police,VA,Riverwood,6608 MLK Hwy,8,1,?,0,0,?,5070,780,780,3510,Mercedes,E400,2007,Y,5070,3130,0
134,29,9/6/00,OH,100/300,2000,1413.14,5000000,FEMALE,PhD,sales,board-games,own-child,2/22/15,Multi-vehicle Collision,Rear Collision,1,Police,NY,Columbus,7121 Francis Lane,7,3,NO,2,3,NO,34650,7700,3850,23100,Dodge,RAM,2007,N,34650,5282,0
256,41,5/25/90,IL,250/500,2000,1415.74,6000000,FEMALE,PhD,armed-forces,board-games,unmarried,1/10/15,Single Vehicle Collision,Front Collision,2,Police,OH,Arlington,6956 Maple Drive,5,1,?,1,2,NO,63400,6340,6340,50720,Chevrolet,Tahoe,2014,Y,63400,8996,1
228,44,6/6/14,IL,500/1000,1000,1583.91,6000000,MALE,Associate,sales,board-games,unmarried,2/17/15,Vehicle Theft,?,1,Unknown,NY,Arlington,3041 3rd Ave,20,1,NO,0,1,NO,6500,1300,650,4550,Accura,RSX,2009,N,6500,256,0
256,39,10/12/06,OH,250/500,1000,1351.1,0,FEMALE,PhD,tech-support,bungie-jumping,unmarried,1/2/15,Multi-vehicle Collision,Rear Collision,2,Fire,SC,Arlington,8973 Washington St,19,3,NO,0,2,NO,64100,6410,6410,51280,Saab,95,2003,Y,64100,3004,1
137,34,6/4/00,IN,250/500,1000,1333.35,0,MALE,PhD,prof-specialty,board-games,husband,1/13/15,Multi-vehicle Collision,Front Collision,1,Police,NY,Springfield,5846 Weaver Drive,0,3,?,0,0,?,78650,21450,7150,50050,Nissan,Pathfinder,2012,N,78650,5336,1
165,37,2/3/90,IL,100/300,1000,1137.03,0,MALE,Associate,tech-support,base-jumping,unmarried,2/27/15,Multi-vehicle Collision,Front Collision,3,Police,VA,Columbus,3525 3rd Hwy,23,3,?,2,2,YES,51590,9380,9380,32830,Audi,A5,2015,N,51590,9155,0
27,33,2/5/97,IL,100/300,500,1442.99,0,FEMALE,PhD,other-service,golf,own-child,1/30/15,Single Vehicle Collision,Front Collision,3,Police,WV,Arlington,4872 Rock Ridge,21,1,NO,1,1,YES,27700,2770,2770,22160,Toyota,Camry,2012,N,27700,6568,0
212,42,7/25/11,IL,100/300,500,1315.68,0,MALE,PhD,priv-house-serv,camping,wife,1/5/15,Single Vehicle Collision,Rear Collision,3,Other,NC,Hillsdale,3066 Francis Ave,14,1,NO,2,1,?,42300,4700,4700,32900,Saab,92x,1996,N,42300,1260,0
235,42,5/26/02,OH,100/300,500,1253.12,4000000,FEMALE,Masters,exec-managerial,dancing,other-relative,1/6/15,Single Vehicle Collision,Front Collision,3,Police,NY,Northbend,1558 1st Ridge,22,1,YES,2,2,?,87010,7910,15820,63280,Ford,F150,2002,N,87010,4608,1
447,61,5/29/99,OH,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,skydiving,other-relative,2/15/15,Multi-vehicle Collision,Front Collision,2,Fire,SC,Springfield,5971 5th Hwy,21,3,YES,1,2,YES,88400.65,17680,17680,79560,Audi,A3,2006,N,114920,5741,1
